timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759607076650,283,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,895,235,8,8,https://fakestoreapi.com/auth/login,283,0,0
1759607076658,275,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,894,235,8,8,https://fakestoreapi.com/auth/login,275,0,0
1759607076653,283,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,903,241,8,8,https://fakestoreapi.com/auth/login,283,0,0
1759607076767,273,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,896,236,8,8,https://fakestoreapi.com/auth/login,273,0,0
1759607076801,279,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,896,237,8,8,https://fakestoreapi.com/auth/login,279,0,0
1759607076895,276,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,895,235,8,8,https://fakestoreapi.com/auth/login,276,0,0
1759607076933,280,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,907,241,8,8,https://fakestoreapi.com/auth/login,280,0,0
1759607076936,277,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,898,236,8,8,https://fakestoreapi.com/auth/login,277,0,0
1759607076933,280,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,896,235,8,8,https://fakestoreapi.com/auth/login,280,0,0
1759607077040,275,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,898,237,8,8,https://fakestoreapi.com/auth/login,275,0,0
1759607077085,278,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,895,235,8,8,https://fakestoreapi.com/auth/login,278,0,0
1759607077171,273,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,901,241,8,8,https://fakestoreapi.com/auth/login,273,0,0
1759607077213,273,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,898,237,8,8,https://fakestoreapi.com/auth/login,273,0,0
1759607077213,275,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,896,236,8,8,https://fakestoreapi.com/auth/login,275,0,0
1759607077213,277,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,896,235,8,8,https://fakestoreapi.com/auth/login,277,0,0
1759607077316,288,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,893,235,8,8,https://fakestoreapi.com/auth/login,288,0,0
1759607077363,288,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,897,241,8,8,https://fakestoreapi.com/auth/login,288,0,0
1759607077444,275,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,898,235,8,8,https://fakestoreapi.com/auth/login,275,0,0
1759607077486,283,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,894,236,8,8,https://fakestoreapi.com/auth/login,283,0,0
1759607077488,283,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,902,237,8,8,https://fakestoreapi.com/auth/login,283,0,0
1759607077491,280,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,901,235,8,8,https://fakestoreapi.com/auth/login,280,0,0
1759607077604,281,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,895,241,8,8,https://fakestoreapi.com/auth/login,281,0,0
1759607077651,288,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,892,235,8,8,https://fakestoreapi.com/auth/login,288,0,0
1759607077719,276,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,896,236,8,8,https://fakestoreapi.com/auth/login,276,0,0
1759607077772,273,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,897,235,8,8,https://fakestoreapi.com/auth/login,273,0,0
1759607077770,276,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,894,237,8,8,https://fakestoreapi.com/auth/login,276,0,0
1759607077772,281,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,909,241,8,8,https://fakestoreapi.com/auth/login,281,0,0
1759607077885,278,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,898,235,8,8,https://fakestoreapi.com/auth/login,278,0,0
1759607077939,282,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,888,236,8,8,https://fakestoreapi.com/auth/login,282,0,0
1759607077995,281,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,902,237,8,8,https://fakestoreapi.com/auth/login,281,0,0
1759607078046,281,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,895,235,8,8,https://fakestoreapi.com/auth/login,281,0,0
1759607078046,281,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,895,241,8,8,https://fakestoreapi.com/auth/login,281,0,0
1759607078053,280,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,894,235,8,8,https://fakestoreapi.com/auth/login,280,0,0
1759607078163,276,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,898,236,8,8,https://fakestoreapi.com/auth/login,276,0,0
1759607078221,281,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,898,237,8,8,https://fakestoreapi.com/auth/login,281,0,0
1759607078277,275,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,893,235,8,8,https://fakestoreapi.com/auth/login,275,0,0
1759607078327,275,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,899,241,8,8,https://fakestoreapi.com/auth/login,275,0,0
1759607078327,278,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,890,235,8,8,https://fakestoreapi.com/auth/login,278,0,0
1759607078333,278,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,898,236,8,8,https://fakestoreapi.com/auth/login,278,0,0
1759607078439,273,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,898,237,8,8,https://fakestoreapi.com/auth/login,273,0,0
1759607078503,285,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,899,235,8,8,https://fakestoreapi.com/auth/login,285,0,0
1759607078552,273,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,899,241,8,8,https://fakestoreapi.com/auth/login,273,0,0
1759607078605,279,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,890,236,8,8,https://fakestoreapi.com/auth/login,279,0,0
1759607078602,287,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,892,235,8,8,https://fakestoreapi.com/auth/login,287,0,0
1759607078612,279,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,892,237,8,8,https://fakestoreapi.com/auth/login,279,0,0
1759607078713,280,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,895,235,8,8,https://fakestoreapi.com/auth/login,280,0,0
1759607078788,280,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,905,241,8,8,https://fakestoreapi.com/auth/login,280,0,0
1759607078826,277,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,900,235,8,8,https://fakestoreapi.com/auth/login,277,0,0
